GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.18.57_1,21113,2,1,53016.0,0.044477138976913,0.037950807303456,0.046281055008996,0.26979741,0.7526999999999999,0.208639122709188,0.5568785367964455,0.3895,2.6264,0.6562,0.2971,0.6298,0.267,0.6689,0.2956,0.5236,0.3933,0.6679,0.2934,0,0,0.6665822464226921,0.67156303479749,0.548610722871359
USA.18.58_1,21115,7,3,22794.0,0.008291655698868,0.003992278669825,0.065968718466196,0.10132328,0.2619,0.1996354777899041,0.3205125776020488,0.4891,1.1989,0.7866,0.1806,0.757,0.1914,0.7963,0.1833,0.5937,0.3848,0.8182,0.1597,0,0,0.8229074332024819,0.8161722760981176,0.5925532509643876
USA.18.59_1,21117,1,1,168264.0,0.04499477012314,0.035182807968431,0.041639855601967,0.27406412,0.9328,0.2668069139983227,0.5721000599535384,0.7053,4.7336,0.6136999999999999,0.3333,0.6064,0.2874,0.6214999999999999,0.3466,0.4955,0.3782,0.5978,0.3657,0,0,0.6167531974167404,0.6403308613804906,0.5413428747134791
USA.18.60_1,21119,9,4,14506.0,0.009926926788915,0.009857989797325,0.113499570077386,0.1243346,0.0,0.245711385921177,0.3139878557782485,0.8815,0.987,0.7533,0.2146,0.7339,0.2188,0.752,0.2272,0.1151,0.8739,0.7487,0.2304,0,0,0.7802963150563504,0.7801625784369652,0.05154581539665676
USA.18.61_1,21121,7,3,30367.0,0.009483979319656,0.014193038495736,0.089919072834449,0.084940791,0.3795,0.1938458906909854,0.3376518868271068,0.4588,1.0915,0.7938,0.1749,0.7665,0.1739,0.8091,0.1722,0.6866,0.2816,0.8051,0.1766,0,0,0.8310750918070153,0.8354249857387337,0.7021859450997932
USA.18.62_1,21123,3,1,14768.0,0.033586132177681,0.033721560130011,0.029504439988542,0.11963362,0.0,0.1600411428145011,0.3716965706806153,0.2788,1.2806,0.7147,0.2439,0.6813,0.2423,0.7259,0.2477,0.3861,0.5663,0.737,0.2358,0,0,0.7373053058123338,0.7258984597832288,0.37502096494660925
USA.18.63_1,21125,5,2,62090.0,0.007134804316315,0.015783540022548,0.051399900417481,0.13578911,0.3901,0.3063480633062586,0.4213903403433753,1.0916,2.4466,0.7974,0.1628,0.7715,0.1594,0.8224,0.1586,0.7409,0.2233,0.8219,0.1573,0,0,0.8410155755350133,0.8493297204791785,0.7651366914518924
USA.18.64_1,21127,6,3,16274.0,0.001351849576011,0.011367825980091,0.05267593763169,0.083720222,0.2398,0.1763331758754004,0.3124091700286946,0.3438,0.9602,0.7532,0.2152,0.7429,0.206,0.7706,0.2094,0.472,0.4926,0.7738,0.2076,0,0,0.7798531087754843,0.7957073588134627,0.46424777771565945
USA.18.65_1,21129,9,4,7263.0,0.01294231034008,0.011703152967093,0.074497437918802,0.075251646,0.0,0.1587097456914081,0.2256482997782435,0.3308,0.7014,0.7762,0.1929,0.7693,0.1944,0.7895,0.1914,0.6323,0.3406,0.7906,0.1883,0,0,0.8085348866658224,0.8228037649743297,0.6388438530776541
USA.18.66_1,21131,9,4,10622.0,0.003577480700433,0.001318019205423,0.074371321562333,0.080838524,0.0,0.2007102088479062,0.2126662120494762,0.5027,0.4274,0.8457999999999999,0.1259,0.8469,0.1194,0.8711,0.1137,0.8712,0.1094,0.8959,0.0897,0,0,0.8950234266177028,0.9316172276098118,0.9016604237714542
